Days,date time,Average of temp,Average of humid,Average of wind speed
1-Jan,12 AM,30.6,51.9,0.0
1-Jan,1 AM,29.9,52.8,0.0
1-Jan,2 AM,29.2,53.9,0.2
1-Jan,3 AM,29.1,53.8,0.2
1-Jan,4 AM,28.2,56.7,0.0
1-Jan,5 AM,27.5,58.6,0.0
1-Jan,6 AM,26.6,61.1,0.0
1-Jan,7 AM,28.7,57.3,0.1
1-Jan,8 AM,32.5,49.8,0.1
1-Jan,9 AM,36.2,43.0,0.1
1-Jan,10 AM,37.6,40.4,0.2
1-Jan,11 AM,40.1,36.7,0.1
1-Jan,12 PM,40.5,35.4,0.6
1-Jan,1 PM,40.0,35.7,1.4
1-Jan,2 PM,40.2,35.3,1.6
1-Jan,3 PM,39.7,36.4,1.7
1-Jan,4 PM,38.4,38.5,1.6
1-Jan,5 PM,35.7,42.6,1.4
1-Jan,6 PM,34.6,44.5,1.0
1-Jan,7 PM,34.3,45.4,0.1
1-Jan,8 PM,33.0,48.8,0.0
1-Jan,9 PM,31.8,51.1,0.3
1-Jan,10 PM,31.7,50.3,0.3
1-Jan,11 PM,30.9,52.9,0.0
2-Jan,12 AM,31.0,51.8,0.4
2-Jan,1 AM,29.6,56.2,0.3
2-Jan,2 AM,29.5,55.8,0.1
2-Jan,3 AM,28.6,57.7,0.0
2-Jan,4 AM,27.8,59.9,0.0
2-Jan,5 AM,27.0,61.6,0.0
2-Jan,6 AM,27.1,61.4,0.0
2-Jan,7 AM,29.2,58.4,0.0
2-Jan,8 AM,33.3,50.3,0.0
2-Jan,9 AM,37.5,42.2,0.1
2-Jan,10 AM,38.3,39.3,0.2
2-Jan,11 AM,40.3,36.4,0.1
2-Jan,12 PM,38.8,38.1,0.5
2-Jan,1 PM,40.0,36.6,0.3
2-Jan,2 PM,40.5,36.4,0.4
2-Jan,3 PM,40.3,36.4,0.1
2-Jan,4 PM,41.1,35.7,0.2
2-Jan,5 PM,38.7,38.3,0.2
2-Jan,6 PM,35.2,44.4,0.1
2-Jan,7 PM,33.3,48.3,0.0
2-Jan,8 PM,32.3,51.3,0.0
2-Jan,9 PM,31.6,52.6,0.0
2-Jan,10 PM,31.1,53.9,0.1
2-Jan,11 PM,30.5,55.1,0.0
3-Jan,12 AM,30.2,55.6,0.0
3-Jan,1 AM,29.4,58.2,0.1
3-Jan,2 AM,28.7,59.7,0.0
3-Jan,3 AM,28.3,60.1,0.0
3-Jan,4 AM,28.0,60.5,0.0
3-Jan,5 AM,27.9,60.8,0.0
3-Jan,6 AM,27.8,60.7,0.0
3-Jan,7 AM,30.0,56.7,0.0
3-Jan,8 AM,32.6,51.7,0.2
3-Jan,9 AM,33.7,49.4,0.1
3-Jan,10 AM,36.8,44.2,0.0
3-Jan,11 AM,40.5,37.3,0.2
3-Jan,12 PM,40.3,36.1,0.7
3-Jan,1 PM,41.1,34.5,0.8
3-Jan,2 PM,43.0,32.5,0.3
3-Jan,3 PM,43.3,32.5,0.4
3-Jan,4 PM,42.0,34.6,0.2
3-Jan,5 PM,39.0,38.9,0.3
3-Jan,6 PM,36.2,42.6,0.4
3-Jan,7 PM,35.4,43.5,0.4
3-Jan,8 PM,34.3,45.5,0.0
3-Jan,9 PM,33.1,49.3,0.0
3-Jan,10 PM,32.5,51.2,0.0
3-Jan,11 PM,31.7,52.9,0.0
4-Jan,12 AM,31.2,54.1,0.0
4-Jan,1 AM,30.7,55.1,0.0
4-Jan,2 AM,30.2,56.7,0.0
4-Jan,3 AM,29.9,57.6,0.0
4-Jan,4 AM,29.9,57.4,0.0
4-Jan,5 AM,30.0,57.0,0.0
4-Jan,6 AM,29.3,59.8,0.0
4-Jan,7 AM,29.8,59.6,0.0
4-Jan,8 AM,31.7,56.7,0.0
4-Jan,9 AM,35.2,49.2,0.1
4-Jan,10 AM,36.9,46.0,0.1
4-Jan,11 AM,39.0,42.4,0.0
4-Jan,12 PM,40.4,40.2,0.1
4-Jan,1 PM,43.0,35.8,0.1
4-Jan,2 PM,43.5,34.6,0.0
4-Jan,3 PM,44.9,31.9,0.1
4-Jan,4 PM,43.5,35.0,0.1
4-Jan,5 PM,41.0,35.2,0.1
4-Jan,6 PM,37.0,40.0,0.0
4-Jan,7 PM,34.8,46.4,0.0
4-Jan,8 PM,33.2,52.5,0.0
4-Jan,9 PM,32.3,54.3,0.0
4-Jan,10 PM,31.8,54.7,0.0
4-Jan,11 PM,31.3,55.5,0.0
5-Jan,12 AM,31.1,53.5,0.0
5-Jan,1 AM,30.9,53.1,0.0
5-Jan,2 AM,30.3,55.5,0.0
5-Jan,3 AM,29.7,56.9,0.0
5-Jan,4 AM,29.2,58.6,0.0
5-Jan,5 AM,28.4,60.1,0.0
5-Jan,6 AM,28.3,60.3,0.0
5-Jan,7 AM,29.1,59.1,0.0
5-Jan,8 AM,34.9,49.5,0.0
5-Jan,9 AM,38.4,41.5,0.0
5-Jan,10 AM,39.5,38.3,0.1
5-Jan,11 AM,41.7,35.1,0.1
5-Jan,12 PM,43.3,32.3,0.1
5-Jan,1 PM,44.3,27.2,0.3
5-Jan,2 PM,45.3,25.5,0.2
5-Jan,3 PM,45.9,25.6,0.2
5-Jan,4 PM,45.4,29.4,0.2
5-Jan,5 PM,42.5,34.1,0.0
5-Jan,6 PM,38.7,40.4,0.0
5-Jan,7 PM,35.4,48.4,0.1
5-Jan,8 PM,33.7,51.5,0.0
5-Jan,9 PM,32.5,54.4,0.0
5-Jan,10 PM,31.8,53.7,0.0
5-Jan,11 PM,31.0,56.2,0.0
6-Jan,12 AM,30.4,56.2,0.0
6-Jan,1 AM,29.3,59.0,0.0
6-Jan,2 AM,28.6,59.2,0.1
6-Jan,3 AM,28.1,58.9,0.0
6-Jan,4 AM,27.2,59.8,0.0
6-Jan,5 AM,27.0,60.0,0.0
6-Jan,6 AM,26.6,60.2,0.0
