Months,Days,date time,Average of temp,Average of humid,Average of wind speed
Mar,29-Mar,1 PM,28.4,52.4,5.3
Mar,29-Mar,2 PM,28.6,51.1,2.8
Mar,29-Mar,3 PM,28.8,50.6,2.7
Apr,1-Apr,12 AM,37.7,47.6,3.0
Apr,1-Apr,1 AM,37.7,47.9,3.0
Apr,1-Apr,2 AM,37.7,48.1,3.1
Apr,1-Apr,3 AM,37.7,48.4,3.0
Apr,1-Apr,4 AM,37.7,48.5,2.9
Apr,1-Apr,5 AM,37.7,48.7,2.6
Apr,1-Apr,6 AM,37.7,48.6,3.1
Apr,1-Apr,7 AM,37.7,48.3,3.1
Apr,1-Apr,8 AM,36.9,47.6,2.9
Apr,1-Apr,9 AM,29.6,46.5,3.0
Apr,1-Apr,10 AM,28.5,50.5,3.0
Apr,1-Apr,11 AM,28.8,51.6,2.9
Apr,1-Apr,12 PM,29.0,51.8,3.1
Apr,1-Apr,1 PM,28.5,52.9,3.0
Apr,1-Apr,2 PM,28.0,53.8,3.1
Apr,1-Apr,3 PM,28.1,54.0,2.9
Apr,1-Apr,4 PM,28.0,54.2,3.1
Apr,1-Apr,5 PM,31.1,50.6,3.1
Apr,1-Apr,6 PM,34.9,45.0,2.8
Apr,1-Apr,7 PM,35.7,44.6,2.7
Apr,1-Apr,8 PM,36.1,44.7,2.7
Apr,1-Apr,9 PM,36.4,44.9,3.0
Apr,1-Apr,10 PM,36.6,45.0,3.0
Apr,1-Apr,11 PM,36.7,45.2,3.0
Apr,2-Apr,12 AM,36.8,45.2,3.0
Apr,2-Apr,1 AM,36.9,45.1,3.0
Apr,2-Apr,2 AM,36.9,44.9,3.0
Apr,2-Apr,3 AM,37.0,44.6,2.8
Apr,2-Apr,4 AM,36.9,44.2,2.9
Apr,2-Apr,5 AM,36.8,43.5,2.7
Apr,2-Apr,6 AM,36.7,42.7,3.0
Apr,2-Apr,7 AM,36.7,41.9,3.0
Apr,2-Apr,8 AM,36.6,41.2,2.8
Apr,2-Apr,9 AM,36.6,40.4,2.7
Apr,2-Apr,10 AM,36.6,40.0,3.0
Apr,2-Apr,11 AM,36.6,39.7,2.9
Apr,2-Apr,12 PM,36.7,39.6,2.9
Apr,2-Apr,1 PM,36.8,39.7,2.7
Apr,2-Apr,2 PM,36.9,39.7,2.7
Apr,2-Apr,3 PM,37.0,39.7,2.6
Apr,2-Apr,4 PM,37.0,39.5,2.7
Apr,2-Apr,5 PM,36.9,39.4,2.8
Apr,2-Apr,6 PM,36.8,39.6,2.7
Apr,2-Apr,7 PM,36.7,39.6,2.7
Apr,2-Apr,8 PM,36.7,39.8,2.6
Apr,2-Apr,9 PM,36.7,39.7,2.8
Apr,2-Apr,10 PM,36.7,39.6,2.7
Apr,2-Apr,11 PM,36.6,39.4,2.8
Apr,3-Apr,12 AM,36.6,39.2,2.7
Apr,3-Apr,1 AM,36.5,38.9,2.7
Apr,3-Apr,2 AM,36.5,38.8,2.7
Apr,3-Apr,3 AM,36.4,38.7,2.6
Apr,3-Apr,4 AM,36.4,38.6,2.8
Apr,3-Apr,5 AM,36.3,38.6,2.8
Apr,3-Apr,6 AM,36.2,38.8,2.7
Apr,3-Apr,7 AM,36.1,39.2,2.7
Apr,3-Apr,8 AM,36.0,39.8,2.6
Apr,3-Apr,9 AM,35.8,40.3,2.7
Apr,3-Apr,10 AM,35.8,40.3,2.9
Apr,3-Apr,11 AM,35.8,40.3,2.8
Apr,3-Apr,12 PM,35.8,39.9,2.7
Apr,3-Apr,1 PM,35.8,39.7,2.6
Apr,3-Apr,2 PM,35.8,39.5,2.8
Apr,3-Apr,3 PM,35.8,39.4,2.7
Apr,3-Apr,4 PM,35.8,39.4,2.7
Apr,3-Apr,5 PM,35.7,39.7,2.8
Apr,3-Apr,6 PM,35.7,40.0,2.8
Apr,3-Apr,7 PM,35.7,40.4,2.7
Apr,3-Apr,8 PM,35.7,40.6,2.8
Apr,3-Apr,9 PM,35.7,40.8,2.6
Apr,3-Apr,10 PM,35.6,40.9,2.7
Apr,3-Apr,11 PM,35.6,41.0,2.6
Apr,4-Apr,12 AM,35.5,41.1,2.7
Apr,4-Apr,1 AM,35.5,41.1,2.7
Apr,4-Apr,2 AM,35.4,41.3,2.7
Apr,4-Apr,3 AM,35.4,41.6,2.8
Apr,4-Apr,4 AM,35.3,41.8,2.8
Apr,4-Apr,5 AM,35.2,42.2,2.7
Apr,4-Apr,6 AM,35.2,42.4,2.7
Apr,4-Apr,7 AM,35.1,42.6,2.8
Apr,4-Apr,8 AM,34.6,42.6,2.9
Apr,4-Apr,9 AM,28.6,50.5,2.8
Apr,4-Apr,10 AM,28.3,51.4,2.9
Apr,4-Apr,11 AM,28.4,50.8,2.8
Apr,4-Apr,12 PM,27.9,47.2,2.8
Apr,4-Apr,1 PM,28.3,49.3,2.9
Apr,4-Apr,2 PM,27.9,46.3,2.9
Apr,4-Apr,3 PM,27.9,45.1,2.8
Apr,4-Apr,4 PM,31.7,42.4,2.7
Apr,4-Apr,5 PM,34.4,39.8,2.7
Apr,4-Apr,6 PM,34.9,40.1,2.9
Apr,4-Apr,7 PM,35.1,40.3,2.7
Apr,4-Apr,8 PM,35.3,40.5,2.8
Apr,4-Apr,9 PM,35.4,40.7,2.6
Apr,4-Apr,10 PM,35.5,41.0,2.8
Apr,4-Apr,11 PM,35.6,41.4,2.7
Apr,5-Apr,12 AM,35.6,41.7,2.8
Apr,5-Apr,1 AM,35.6,42.0,2.7
Apr,5-Apr,2 AM,35.7,42.1,2.8
Apr,5-Apr,3 AM,35.6,42.3,2.7
Apr,5-Apr,4 AM,35.6,42.2,2.8
Apr,5-Apr,5 AM,35.6,42.3,2.7
Apr,5-Apr,6 AM,35.5,42.4,2.7
Apr,5-Apr,7 AM,35.6,42.6,2.8
Apr,5-Apr,8 AM,35.1,42.8,2.6
Apr,5-Apr,9 AM,29.4,48.5,2.8
Apr,5-Apr,10 AM,28.8,51.2,2.9
Apr,5-Apr,11 AM,28.5,52.1,2.8
Apr,5-Apr,12 PM,28.4,51.7,2.9
Apr,5-Apr,1 PM,28.4,51.5,2.7
Apr,5-Apr,2 PM,28.3,50.7,2.9
Apr,5-Apr,3 PM,28.3,51.1,2.8
Apr,5-Apr,4 PM,31.3,46.4,2.8
Apr,5-Apr,5 PM,34.8,42.1,2.8
Apr,5-Apr,6 PM,35.5,41.8,2.7
Apr,5-Apr,7 PM,35.7,41.9,2.8
Apr,5-Apr,8 PM,35.9,41.9,2.7
Apr,5-Apr,9 PM,36.1,42.0,2.8
Apr,5-Apr,10 PM,36.2,42.3,2.6
Apr,5-Apr,11 PM,36.3,42.6,2.8
Apr,6-Apr,12 AM,36.4,43.0,2.8
Apr,6-Apr,1 AM,36.4,43.4,2.8
Apr,6-Apr,2 AM,36.4,43.8,2.8
Apr,6-Apr,3 AM,36.4,44.1,2.8
Apr,6-Apr,4 AM,36.4,44.4,2.8
Apr,6-Apr,5 AM,36.4,44.6,2.8
Apr,6-Apr,6 AM,36.3,44.7,2.9
Apr,6-Apr,7 AM,36.3,44.9,2.7
Apr,6-Apr,8 AM,36.4,45.0,2.9
Apr,6-Apr,9 AM,36.5,45.0,2.9
Apr,6-Apr,10 AM,36.6,44.8,2.9
Apr,6-Apr,11 AM,36.8,44.6,2.9
Apr,6-Apr,12 PM,36.9,44.4,2.8
Apr,6-Apr,1 PM,37.0,44.2,2.7
Apr,6-Apr,2 PM,37.2,43.8,2.8
Apr,6-Apr,3 PM,37.4,43.4,2.9
Apr,6-Apr,4 PM,37.7,43.2,2.7
